param,Ground Energy,Gap energy,Sec Der of E0/punc,Order param,Binder,Susceptibility
0.65,-0.73600192513482721,0.086001925134827295,4599997.2931194492,0.47529681819748609,0.98298866593582879,7.1454732425662604
0.6504,-0.73600428337054291,0.085604283370542822,-5.9781891144812107,0.47696525327876849,0.98274854564758285,7.1264220218147543
0.6508,-0.73600759811651717,0.085207598116517236,-6.0103654712438583,0.4786407720558275,0.98250485659347131,7.107280374853719
0.6512,-0.73601187452096706,0.084811874520967168,-6.0425557214766741,0.48032335845641771,0.98225755065224141,7.0880479544331711
0.6516,-0.73601711773433209,0.084417117734332692,-6.0747552160173655,0.48201299511388629,0.98200657933615054,7.0687244248742109
0.652,-0.73602333290853184,0.084023332908532034,-6.1069592610001564,0.4837096633480697,0.98175189379936312,7.0493094624266472
0.6524,-0.73603052519621359,0.083630525196214167,-6.1391630209982395,0.48541334314637458,0.98149344484683165,7.0298027556296008
0.6528,-0.73603869974997849,0.083238699749978995,-6.1713616121560335,0.48712401314505788,0.98123118294366951,7.0102040056751127
0.6532,-0.7360478617216013,0.082847861721601634,-6.2035500388592482,0.48884165061068546,0.98096505822503377,6.99051292677483
0.6536,-0.73605801626123035,0.082458016261230838,-6.2357232328504324,0.49056623142183309,0.98069502050651924,6.9707292465291797
0.654,-0.73606916851657689,0.082069168516577529,-6.2678760159760714,0.49229773005102045,0.9804210192950793,6.9508527062991954
0.6544,-0.736081323632086,0.081681323632086245,-6.3000031597912312,0.49403611954689725,0.98014300380047981,6.9308830615804702
0.6548,-0.73609448674810063,0.081294486748101358,-6.3320992887020111,0.49578137151671825,0.97986092294729676,6.9108200823793675
0.6552,-0.73610866300000166,0.080908663000002434,-6.3641590122133493,0.49753345610910404,0.97957472538746559,6.8906635535909331
0.6556,-0.73612385751734466,0.080523857517345254,-6.396176790818572,0.49929234199712996,0.97928435951339077,6.8704132753784632
0.656,-0.73614007542297433,0.080140075422974966,-6.4281470440328121,0.50105799636174042,0.97898977347162486,6.8500690635544768
0.6564,-0.73615732183213123,0.079757321832131911,-6.460064085200429,0.50283038487552045,0.97869091517712525,6.829630749962849
0.6568,-0.73617560185154141,0.079375601851542354,-6.4919221382588148,0.50460947168685388,0.9783877323280924,6.8090981828615762
0.6572,-0.73619492057849378,0.078994920578494443,-6.5237153694033623,0.50639521940446452,0.97808017242140266,6.7884712273064833
0.6576,-0.73621528309990525,0.078615283099906397,-6.555437833070755,0.50818758908237527,0.9777681827686393,6.767749765535056
0.658,-0.73623669449137008,0.078236694491371161,-6.5870835427194834,0.50998654020532974,0.97745171051272273,6.7469336973501308
0.6584,-0.73625915981620149,0.077859159816202617,-6.6186463851481676,0.51179203067463208,0.97713070264515967,6.7260229405036691
0.6588,-0.73628268412445452,0.07748268412445547,-6.6501202005892992,0.5136040167945084,0.97680510602389914,6.7050174310796589
0.6592,-0.73630727245193972,0.077107272451941156,-6.6814987622201443,0.51542245325893965,0.97647486739181455,6.6839171238762178
0.6596,-0.73633292981922682,0.076732929819227857,-6.7127757295966148,0.51724729313903672,0.97613993339580718,6.6627219927865831
0.66,-0.73635966123063079,0.07635966123063187,-6.7439447231590748,0.51907848787095112,0.97580025060653763,6.6414320311782307
0.6604,-0.7363874716731903,0.07598747167319142,-6.7749992851167917,0.52091598724435817,0.97545576553878843,6.6200472522704645
0.6608,-0.73641636611563543,0.075616366115636713,-6.8059328719973564,0.52275973939152165,0.97510642467245923,6.5985676895094549
0.6612,-0.73644634950734,0.075246349507341659,-6.8367388881742954,0.52460969077696962,0.97475217447419693,6.5769933969409511
0.6616,-0.7364774267772668,0.074877426777268052,-6.8674106728285551,0.52646578618781648,0.97439296141965726,6.5553244495796008
0.662,-0.73650960283290123,0.074509602832902755,-6.8979414999485016,0.52832796872470922,0.97402873201640749,6.5335609437754316
0.6624,-0.73654288255917555,0.074142882559177004,-6.9283245708793402,0.53019617979347788,0.97365943282745693,6.5117029975761014
0.6628,-0.736577270817381,0.073777270817382501,-6.9585530236363411,0.53207035909745548,0.97328501049542537,6.4897507510854293
0.6632,-0.7366127724440702,0.07341277244407185,-6.9886199831962585,0.53395044463053809,0.97290541176733691,6.4677043668171104
0.6636,-0.73664939224995651,0.073049392249958101,-7.0185184609144926,0.53583637267096662,0.97252058352004334,6.4455640300435739
0.664,-0.73668713501879679,0.072687135018798643,-7.048241451382637,0.5377280777758755,0.97213047278626974,6.4233299491397231
0.6644,-0.73672600550626932,0.072326005506270663,-7.0777819007635117,0.53962549277660965,0.97173502678127677,6.4010023559205429
0.6648,-0.73676600843884599,0.071966008438847817,-7.1071326769888401,0.5415285487748599,0.9713341929301329,6.3785815059728757
0.6652,-0.73680714851265083,0.071607148512652707,-7.1362866535782814,0.543437175139597,0.97092791889559293,6.3560676789804198
0.6656,-0.73684943039232043,0.071249430392322122,-7.1652366239577532,0.5453512995048565,0.97051615260657043,6.3334611790417457
0.666,-0.73689285870984966,0.070892858709851514,-7.1939753424376249,0.54727084776838142,0.97009884228719667,6.3107623349808772
0.6664,-0.73693743806343381,0.070537438063435598,-7.2224955689162016,0.54919574409113858,0.96967593648645578,6.2879715006498884
0.6668,-0.73698317301630867,0.070183173016310496,-7.2507899813354015,0.55112591089771845,0.96924738410838818,6.2650890552233989
0.6672,-0.73703006809558058,0.069830068095582676,-7.2788512632250786,0.55306126887767604,0.96881313444283934,6.2421154034839565
0.6676,-0.73707812779105464,0.069478127791056665,-7.3066720701754093,0.55500173698777333,0.96837313719675366,6.2190509760984627
